Nodo	Comunidad
0	1
1	1
2	1
3	2
4	2
5	1
6	1
7	1
8	2
9	1
10	1
11	1
12	1
13	2
14	2
15	1
16	2
17	1
18	2
19	1
20	1
21	2
22	1
23	1
24	1
25	1
26	2
27	2
28	2
29	1
30	1
31	2
32	1
33	2
34	1
35	2
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	2
47	2
48	2
49	1
50	2
51	1
52	2
53	1
54	1
55	1
56	1
57	1
58	1
59	2
60	1
61	1
62	1
63	2
64	2
65	1
66	1
67	2
68	2
69	1
70	1
71	2
72	2
73	1
74	2
75	1
76	1
77	2
78	1
79	1
80	1
81	1
82	2
83	2
84	1
85	2
86	1
87	2
88	2
89	1
90	2
91	2
92	1
93	1
94	1
95	1
96	1
97	2
98	2
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	2
109	1
110	1
111	1
112	2
113	1
114	2
115	1
116	1
117	1
118	2
119	1
120	2
121	1
122	1
123	1
124	1
125	2
126	2
127	1
128	2
129	1
130	1
131	2
132	1
133	2
134	1
135	1
136	2
137	1
138	2
139	2
140	1
141	2
142	1
143	1
144	1
145	2
146	1
147	2
148	2
149	2
150	1
151	1
152	2
153	1
154	1
155	1
