tiempo	I(t)
0.000000	0.010000
0.010000	0.020020
0.020000	0.030059
0.030000	0.040118
0.040000	0.050197
0.050000	0.060295
0.060000	0.070413
0.070000	0.080552
0.080000	0.090710
0.090000	0.100888
0.100000	0.111085
0.110000	0.121303
0.120000	0.131541
0.130000	0.141799
0.140000	0.152078
0.150000	0.162376
0.160000	0.172694
0.170000	0.183033
0.180000	0.193392
0.190000	0.203772
0.200000	0.214171
0.210000	0.224591
0.220000	0.235032
0.230000	0.245493
0.240000	0.255974
0.250000	0.266476
0.260000	0.276999
0.270000	0.287542
0.280000	0.298106
0.290000	0.308691
0.300000	0.319296
0.310000	0.329922
0.320000	0.340569
0.330000	0.351237
0.340000	0.361925
0.350000	0.372635
0.360000	0.383366
0.370000	0.394117
0.380000	0.404890
0.390000	0.415684
0.400000	0.426499
0.410000	0.437335
0.420000	0.448192
0.430000	0.459071
0.440000	0.469971
0.450000	0.480892
0.460000	0.491835
0.470000	0.502799
0.480000	0.513784
0.490000	0.524791
0.500000	0.535820
0.510000	0.546870
0.520000	0.557942
0.530000	0.569035
0.540000	0.580150
0.550000	0.591287
0.560000	0.602446
0.570000	0.613627
0.580000	0.624829
0.590000	0.636053
0.600000	0.647300
0.610000	0.658568
0.620000	0.669859
0.630000	0.681171
0.640000	0.692506
0.650000	0.703862
0.660000	0.715241
0.670000	0.726643
0.680000	0.738066
0.690000	0.749512
0.700000	0.760980
0.710000	0.772471
0.720000	0.783984
0.730000	0.795520
0.740000	0.807078
0.750000	0.818659
0.760000	0.830263
0.770000	0.841889
0.780000	0.853538
0.790000	0.865209
0.800000	0.876904
0.810000	0.888621
0.820000	0.900361
0.830000	0.912125
0.840000	0.923911
0.850000	0.935720
0.860000	0.947552
0.870000	0.959408
0.880000	0.971286
0.890000	0.983188
0.900000	0.995113
0.910000	1.007061
0.920000	1.019033
0.930000	1.031028
0.940000	1.043047
0.950000	1.055089
0.960000	1.067154
0.970000	1.079243
0.980000	1.091356
0.990000	1.103492
1.000000	1.115652
1.010000	1.127836
1.020000	1.140043
1.030000	1.152275
1.040000	1.164530
1.050000	1.176809
1.060000	1.189112
1.070000	1.201439
1.080000	1.213791
1.090000	1.226166
1.100000	1.238565
1.110000	1.250989
1.120000	1.263437
1.130000	1.275909
1.140000	1.288405
1.150000	1.300926
1.160000	1.313472
1.170000	1.326041
1.180000	1.338636
1.190000	1.351255
1.200000	1.363898
1.210000	1.376566
1.220000	1.389259
1.230000	1.401977
1.240000	1.414719
1.250000	1.427486
1.260000	1.440278
1.270000	1.453096
1.280000	1.465938
1.290000	1.478805
1.300000	1.491697
1.310000	1.504614
1.320000	1.517557
1.330000	1.530524
1.340000	1.543517
1.350000	1.556536
1.360000	1.569579
1.370000	1.582648
1.380000	1.595743
1.390000	1.608863
1.400000	1.622009
1.410000	1.635180
1.420000	1.648377
1.430000	1.661599
1.440000	1.674848
1.450000	1.688122
1.460000	1.701422
1.470000	1.714747
1.480000	1.728099
1.490000	1.741477
1.500000	1.754881
1.510000	1.768311
1.520000	1.781767
1.530000	1.795249
1.540000	1.808758
1.550000	1.822293
1.560000	1.835854
1.570000	1.849441
1.580000	1.863055
1.590000	1.876696
1.600000	1.890363
1.610000	1.904057
1.620000	1.917777
1.630000	1.931524
1.640000	1.945298
1.650000	1.959098
1.660000	1.972925
1.670000	1.986780
1.680000	2.000661
1.690000	2.014569
1.700000	2.028504
1.710000	2.042466
1.720000	2.056456
1.730000	2.070473
1.740000	2.084516
1.750000	2.098588
1.760000	2.112686
1.770000	2.126812
1.780000	2.140966
1.790000	2.155146
1.800000	2.169355
1.810000	2.183591
1.820000	2.197855
1.830000	2.212146
1.840000	2.226465
1.850000	2.240812
1.860000	2.255187
1.870000	2.269590
1.880000	2.284021
1.890000	2.298480
1.900000	2.312967
1.910000	2.327482
1.920000	2.342025
1.930000	2.356596
1.940000	2.371196
1.950000	2.385824
1.960000	2.400481
1.970000	2.415166
1.980000	2.429879
1.990000	2.444621
2.000000	2.459392
2.010000	2.474191
2.020000	2.489019
2.030000	2.503876
2.040000	2.518761
2.050000	2.533676
2.060000	2.548619
2.070000	2.563592
2.080000	2.578593
2.090000	2.593624
2.100000	2.608683
2.110000	2.623772
2.120000	2.638890
2.130000	2.654038
2.140000	2.669214
2.150000	2.684421
2.160000	2.699656
2.170000	2.714922
2.180000	2.730217
2.190000	2.745541
2.200000	2.760895
2.210000	2.776279
2.220000	2.791693
2.230000	2.807137
2.240000	2.822610
2.250000	2.838114
2.260000	2.853647
2.270000	2.869211
2.280000	2.884805
2.290000	2.900429
2.300000	2.916083
2.310000	2.931767
2.320000	2.947482
2.330000	2.963228
2.340000	2.979004
2.350000	2.994810
2.360000	3.010647
2.370000	3.026515
2.380000	3.042413
2.390000	3.058342
2.400000	3.074302
2.410000	3.090293
2.420000	3.106315
2.430000	3.122368
2.440000	3.138451
2.450000	3.154566
2.460000	3.170713
2.470000	3.186890
2.480000	3.203099
2.490000	3.219339
2.500000	3.235610
2.510000	3.251913
2.520000	3.268247
2.530000	3.284613
2.540000	3.301011
2.550000	3.317440
2.560000	3.333901
2.570000	3.350394
2.580000	3.366919
2.590000	3.383476
2.600000	3.400065
2.610000	3.416685
2.620000	3.433338
2.630000	3.450023
2.640000	3.466741
2.650000	3.483490
2.660000	3.500272
2.670000	3.517086
2.680000	3.533933
2.690000	3.550813
2.700000	3.567725
2.710000	3.584669
2.720000	3.601646
2.730000	3.618657
2.740000	3.635700
2.750000	3.652775
2.760000	3.669884
2.770000	3.687026
2.780000	3.704201
2.790000	3.721409
2.800000	3.738650
2.810000	3.755925
2.820000	3.773232
2.830000	3.790574
2.840000	3.807948
2.850000	3.825356
2.860000	3.842798
2.870000	3.860274
2.880000	3.877783
2.890000	3.895325
2.900000	3.912902
2.910000	3.930513
2.920000	3.948157
2.930000	3.965836
2.940000	3.983548
2.950000	4.001295
2.960000	4.019076
2.970000	4.036891
2.980000	4.054741
2.990000	4.072624
3.000000	4.090543
3.010000	4.108496
3.020000	4.126483
