k	P(k)
1	0.5985037406483791
2	0.23067331670822944
3	0.06982543640897755
4	0.03615960099750624
5	0.016209476309226933
6	0.007481296758104738
7	0.011221945137157107
8	0.0024937655860349127
9	0.0024937655860349127
10	0.0012468827930174563
11	0.0012468827930174563
12	0.0024937655860349127
13	0.0024937655860349127
14	0.0024937655860349127
15	0.0024937655860349127
19	0.0012468827930174563
21	0.0012468827930174563
22	0.0012468827930174563
30	0.0012468827930174563
34	0.0012468827930174563
44	0.0012468827930174563
46	0.0012468827930174563
58	0.0012468827930174563
85	0.0012468827930174563
104	0.0012468827930174563
