tb	Rb
0.000000	2.970000
0.010000	2.969941
0.020000	2.969882
0.030000	2.969822
0.040000	2.969763
0.050000	2.969703
0.060000	2.969643
0.070000	2.969584
0.080000	2.969524
0.090000	2.969463
0.100000	2.969403
0.110000	2.969343
0.120000	2.969283
0.130000	2.969222
0.140000	2.969161
0.150000	2.969101
0.160000	2.969040
0.170000	2.968979
0.180000	2.968918
0.190000	2.968856
0.200000	2.968795
0.210000	2.968733
0.220000	2.968672
0.230000	2.968610
0.240000	2.968548
0.250000	2.968486
0.260000	2.968424
0.270000	2.968362
0.280000	2.968300
0.290000	2.968237
0.300000	2.968175
0.310000	2.968112
0.320000	2.968049
0.330000	2.967986
0.340000	2.967923
0.350000	2.967860
0.360000	2.967797
0.370000	2.967734
0.380000	2.967670
0.390000	2.967606
0.400000	2.967543
0.410000	2.967479
0.420000	2.967415
0.430000	2.967351
0.440000	2.967286
0.450000	2.967222
0.460000	2.967158
0.470000	2.967093
0.480000	2.967028
0.490000	2.966963
0.500000	2.966898
0.510000	2.966833
0.520000	2.966768
0.530000	2.966703
0.540000	2.966637
0.550000	2.966572
0.560000	2.966506
0.570000	2.966440
0.580000	2.966374
0.590000	2.966308
0.600000	2.966242
0.610000	2.966175
0.620000	2.966109
0.630000	2.966042
0.640000	2.965975
0.650000	2.965908
0.660000	2.965841
0.670000	2.965774
0.680000	2.965707
0.690000	2.965640
0.700000	2.965572
0.710000	2.965504
0.720000	2.965437
0.730000	2.965369
0.740000	2.965301
0.750000	2.965232
0.760000	2.965164
0.770000	2.965096
0.780000	2.965027
0.790000	2.964958
0.800000	2.964890
0.810000	2.964821
0.820000	2.964752
0.830000	2.964682
0.840000	2.964613
0.850000	2.964543
0.860000	2.964474
0.870000	2.964404
0.880000	2.964334
0.890000	2.964264
0.900000	2.964194
0.910000	2.964124
0.920000	2.964053
0.930000	2.963983
0.940000	2.963912
0.950000	2.963841
0.960000	2.963770
0.970000	2.963699
0.980000	2.963628
0.990000	2.963557
1.000000	2.963485
1.010000	2.963413
1.020000	2.963342
1.030000	2.963270
1.040000	2.963198
1.050000	2.963125
1.060000	2.963053
1.070000	2.962981
1.080000	2.962908
1.090000	2.962835
1.100000	2.962762
1.110000	2.962689
1.120000	2.962616
1.130000	2.962543
1.140000	2.962470
1.150000	2.962396
1.160000	2.962322
1.170000	2.962248
1.180000	2.962174
1.190000	2.962100
1.200000	2.962026
1.210000	2.961952
1.220000	2.961877
1.230000	2.961802
1.240000	2.961727
1.250000	2.961652
1.260000	2.961577
1.270000	2.961502
1.280000	2.961427
1.290000	2.961351
1.300000	2.961275
1.310000	2.961199
1.320000	2.961123
1.330000	2.961047
1.340000	2.960971
1.350000	2.960895
1.360000	2.960818
1.370000	2.960741
1.380000	2.960664
1.390000	2.960587
1.400000	2.960510
1.410000	2.960433
1.420000	2.960356
1.430000	2.960278
1.440000	2.960200
1.450000	2.960122
1.460000	2.960044
1.470000	2.959966
1.480000	2.959888
1.490000	2.959809
1.500000	2.959731
1.510000	2.959652
1.520000	2.959573
1.530000	2.959494
1.540000	2.959415
1.550000	2.959335
1.560000	2.959256
1.570000	2.959176
1.580000	2.959096
1.590000	2.959016
1.600000	2.958936
1.610000	2.958856
1.620000	2.958775
1.630000	2.958695
1.640000	2.958614
1.650000	2.958533
1.660000	2.958452
1.670000	2.958371
1.680000	2.958290
1.690000	2.958208
1.700000	2.958126
1.710000	2.958045
1.720000	2.957963
1.730000	2.957880
1.740000	2.957798
1.750000	2.957716
1.760000	2.957633
1.770000	2.957550
1.780000	2.957467
1.790000	2.957384
1.800000	2.957301
1.810000	2.957218
1.820000	2.957134
1.830000	2.957051
1.840000	2.956967
1.850000	2.956883
1.860000	2.956799
1.870000	2.956714
1.880000	2.956630
1.890000	2.956545
1.900000	2.956460
1.910000	2.956375
1.920000	2.956290
1.930000	2.956205
1.940000	2.956119
1.950000	2.956034
1.960000	2.955948
1.970000	2.955862
1.980000	2.955776
1.990000	2.955690
2.000000	2.955603
2.010000	2.955517
2.020000	2.955430
2.030000	2.955343
2.040000	2.955256
2.050000	2.955169
2.060000	2.955082
2.070000	2.954994
2.080000	2.954906
2.090000	2.954818
2.100000	2.954730
2.110000	2.954642
2.120000	2.954554
2.130000	2.954465
2.140000	2.954376
2.150000	2.954288
2.160000	2.954198
2.170000	2.954109
2.180000	2.954020
2.190000	2.953930
2.200000	2.953841
2.210000	2.953751
2.220000	2.953661
2.230000	2.953570
2.240000	2.953480
2.250000	2.953389
