tb	Rc
0.000000	2.970000
0.010000	2.969938
0.020000	2.969875
0.030000	2.969813
0.040000	2.969750
0.050000	2.969687
0.060000	2.969624
0.070000	2.969561
0.080000	2.969498
0.090000	2.969435
0.100000	2.969371
0.110000	2.969308
0.120000	2.969244
0.130000	2.969180
0.140000	2.969116
0.150000	2.969052
0.160000	2.968988
0.170000	2.968924
0.180000	2.968859
0.190000	2.968795
0.200000	2.968730
0.210000	2.968665
0.220000	2.968600
0.230000	2.968535
0.240000	2.968470
0.250000	2.968405
0.260000	2.968340
0.270000	2.968274
0.280000	2.968208
0.290000	2.968143
0.300000	2.968077
0.310000	2.968011
0.320000	2.967944
0.330000	2.967878
0.340000	2.967812
0.350000	2.967745
0.360000	2.967679
0.370000	2.967612
0.380000	2.967545
0.390000	2.967478
0.400000	2.967411
0.410000	2.967343
0.420000	2.967276
0.430000	2.967208
0.440000	2.967141
0.450000	2.967073
0.460000	2.967005
0.470000	2.966937
0.480000	2.966868
0.490000	2.966800
0.500000	2.966732
0.510000	2.966663
0.520000	2.966594
0.530000	2.966525
0.540000	2.966456
0.550000	2.966387
0.560000	2.966318
0.570000	2.966248
0.580000	2.966179
0.590000	2.966109
0.600000	2.966039
0.610000	2.965969
0.620000	2.965899
0.630000	2.965829
0.640000	2.965759
0.650000	2.965688
0.660000	2.965618
0.670000	2.965547
0.680000	2.965476
0.690000	2.965405
0.700000	2.965334
0.710000	2.965263
0.720000	2.965191
0.730000	2.965120
0.740000	2.965048
0.750000	2.964976
0.760000	2.964904
0.770000	2.964832
0.780000	2.964760
0.790000	2.964687
0.800000	2.964615
0.810000	2.964542
0.820000	2.964469
0.830000	2.964396
0.840000	2.964323
0.850000	2.964250
0.860000	2.964177
0.870000	2.964103
0.880000	2.964029
0.890000	2.963956
0.900000	2.963882
0.910000	2.963808
0.920000	2.963733
0.930000	2.963659
0.940000	2.963585
0.950000	2.963510
0.960000	2.963435
0.970000	2.963360
0.980000	2.963285
0.990000	2.963210
1.000000	2.963135
1.010000	2.963059
1.020000	2.962983
1.030000	2.962908
1.040000	2.962832
1.050000	2.962756
1.060000	2.962679
1.070000	2.962603
1.080000	2.962527
1.090000	2.962450
1.100000	2.962373
1.110000	2.962296
1.120000	2.962219
1.130000	2.962142
1.140000	2.962064
1.150000	2.961987
1.160000	2.961909
1.170000	2.961831
1.180000	2.961753
1.190000	2.961675
1.200000	2.961597
1.210000	2.961519
1.220000	2.961440
1.230000	2.961361
1.240000	2.961282
1.250000	2.961203
1.260000	2.961124
1.270000	2.961045
1.280000	2.960965
1.290000	2.960886
1.300000	2.960806
1.310000	2.960726
1.320000	2.960646
1.330000	2.960566
1.340000	2.960485
1.350000	2.960405
1.360000	2.960324
1.370000	2.960243
1.380000	2.960162
1.390000	2.960081
1.400000	2.960000
1.410000	2.959918
1.420000	2.959837
1.430000	2.959755
1.440000	2.959673
1.450000	2.959591
1.460000	2.959509
1.470000	2.959426
1.480000	2.959344
1.490000	2.959261
1.500000	2.959178
1.510000	2.959095
1.520000	2.959012
1.530000	2.958929
1.540000	2.958845
1.550000	2.958761
1.560000	2.958678
1.570000	2.958594
1.580000	2.958510
1.590000	2.958425
1.600000	2.958341
1.610000	2.958256
1.620000	2.958171
1.630000	2.958087
1.640000	2.958001
1.650000	2.957916
1.660000	2.957831
1.670000	2.957745
1.680000	2.957659
1.690000	2.957574
1.700000	2.957488
1.710000	2.957401
1.720000	2.957315
1.730000	2.957228
1.740000	2.957142
1.750000	2.957055
1.760000	2.956968
1.770000	2.956881
1.780000	2.956793
1.790000	2.956706
1.800000	2.956618
1.810000	2.956530
1.820000	2.956442
1.830000	2.956354
1.840000	2.956266
1.850000	2.956177
1.860000	2.956088
1.870000	2.955999
1.880000	2.955910
1.890000	2.955821
1.900000	2.955732
1.910000	2.955642
1.920000	2.955553
