tiempo	I(t)
0.000000	0.010000
0.010000	0.010020
0.020000	0.010039
0.030000	0.010059
0.040000	0.010079
0.050000	0.010099
0.060000	0.010119
0.070000	0.010139
0.080000	0.010159
0.090000	0.010179
0.100000	0.010199
0.110000	0.010219
0.120000	0.010239
0.130000	0.010259
0.140000	0.010280
0.150000	0.010300
0.160000	0.010320
0.170000	0.010340
0.180000	0.010361
0.190000	0.010381
0.200000	0.010402
0.210000	0.010422
0.220000	0.010443
0.230000	0.010463
0.240000	0.010484
0.250000	0.010505
0.260000	0.010525
0.270000	0.010546
0.280000	0.010567
0.290000	0.010588
0.300000	0.010609
0.310000	0.010629
0.320000	0.010650
0.330000	0.010671
0.340000	0.010692
0.350000	0.010713
0.360000	0.010735
0.370000	0.010756
0.380000	0.010777
0.390000	0.010798
0.400000	0.010819
0.410000	0.010841
0.420000	0.010862
0.430000	0.010883
0.440000	0.010905
0.450000	0.010926
0.460000	0.010948
0.470000	0.010969
0.480000	0.010991
0.490000	0.011013
0.500000	0.011034
0.510000	0.011056
0.520000	0.011078
0.530000	0.011100
0.540000	0.011121
0.550000	0.011143
0.560000	0.011165
0.570000	0.011187
0.580000	0.011209
0.590000	0.011231
0.600000	0.011253
0.610000	0.011276
0.620000	0.011298
0.630000	0.011320
0.640000	0.011342
0.650000	0.011365
0.660000	0.011387
0.670000	0.011409
0.680000	0.011432
0.690000	0.011454
0.700000	0.011477
0.710000	0.011499
0.720000	0.011522
0.730000	0.011545
0.740000	0.011567
0.750000	0.011590
0.760000	0.011613
0.770000	0.011636
0.780000	0.011659
0.790000	0.011682
0.800000	0.011705
0.810000	0.011728
0.820000	0.011751
0.830000	0.011774
0.840000	0.011797
0.850000	0.011820
0.860000	0.011843
0.870000	0.011867
0.880000	0.011890
0.890000	0.011913
0.900000	0.011937
0.910000	0.011960
0.920000	0.011984
0.930000	0.012007
0.940000	0.012031
0.950000	0.012055
0.960000	0.012078
0.970000	0.012102
0.980000	0.012126
0.990000	0.012150
1.000000	0.012174
1.010000	0.012198
1.020000	0.012221
1.030000	0.012246
1.040000	0.012270
1.050000	0.012294
1.060000	0.012318
1.070000	0.012342
