n	1.0e-04	1.0e-03	1.0e-02	1.0e-01	1.0e+00	1.0e+01	1.0e+02	1.0e+03	1.0e+04
0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1	0.666445	0.664452	0.645161	0.500000	0.153846	0.019417	0.001994	0.000200	0.000020	
2	0.666556	0.665557	0.655738	0.571429	0.250000	0.037736	0.003976	0.000400	0.000040	
3	0.666593	0.665927	0.659341	0.600000	0.315789	0.055046	0.005946	0.000599	0.000060	
4	0.666611	0.666112	0.661157	0.615385	0.363636	0.071429	0.007905	0.000799	0.000080	
5	0.666622	0.666223	0.662252	0.625000	0.400000	0.086957	0.009852	0.000999	0.000100	
6	0.666630	0.666297	0.662983	0.631579	0.428571	0.101695	0.011788	0.001198	0.000120	
7	0.666635	0.666349	0.663507	0.636364	0.451613	0.115702	0.013712	0.001397	0.000140	
8	0.666639	0.666389	0.663900	0.640000	0.470588	0.129032	0.015625	0.001596	0.000160	
9	0.666642	0.666420	0.664207	0.642857	0.486486	0.141732	0.017527	0.001795	0.000180	
10	0.666644	0.666445	0.664452	0.645161	0.500000	0.153846	0.019417	0.001994	0.000200	
11	0.666646	0.666465	0.664653	0.647059	0.511628	0.165414	0.021297	0.002193	0.000220	
12	0.666648	0.666482	0.664820	0.648649	0.521739	0.176471	0.023166	0.002391	0.000240	
13	0.666650	0.666496	0.664962	0.650000	0.530612	0.187050	0.025024	0.002590	0.000260	
14	0.666651	0.666508	0.665083	0.651163	0.538462	0.197183	0.026871	0.002788	0.000280	
15	0.666652	0.666519	0.665188	0.652174	0.545455	0.206897	0.028708	0.002987	0.000300	
16	0.666653	0.666528	0.665281	0.653061	0.551724	0.216216	0.030534	0.003185	0.000320	
17	0.666654	0.666536	0.665362	0.653846	0.557377	0.225166	0.032350	0.003383	0.000340	
18	0.666654	0.666543	0.665434	0.654545	0.562500	0.233766	0.034156	0.003581	0.000360	
19	0.666655	0.666550	0.665499	0.655172	0.567164	0.242038	0.035951	0.003778	0.000380	
20	0.666656	0.666556	0.665557	0.655738	0.571429	0.250000	0.037736	0.003976	0.000400	
21	0.666656	0.666561	0.665610	0.656250	0.575342	0.257669	0.039511	0.004174	0.000420	
22	0.666657	0.666566	0.665658	0.656716	0.578947	0.265060	0.041276	0.004371	0.000440	
23	0.666657	0.666570	0.665702	0.657143	0.582278	0.272189	0.043031	0.004568	0.000460	
24	0.666657	0.666574	0.665742	0.657534	0.585366	0.279070	0.044776	0.004766	0.000480	
25	0.666658	0.666578	0.665779	0.657895	0.588235	0.285714	0.046512	0.004963	0.000500	
26	0.666658	0.666581	0.665813	0.658228	0.590909	0.292135	0.048237	0.005160	0.000520	
27	0.666658	0.666584	0.665845	0.658537	0.593407	0.298343	0.049954	0.005357	0.000540	
28	0.666659	0.666587	0.665874	0.658824	0.595745	0.304348	0.051661	0.005553	0.000560	
29	0.666659	0.666590	0.665901	0.659091	0.597938	0.310160	0.053358	0.005750	0.000579	
30	0.666659	0.666593	0.665927	0.659341	0.600000	0.315789	0.055046	0.005946	0.000599	
31	0.666659	0.666595	0.665951	0.659574	0.601942	0.321244	0.056725	0.006143	0.000619	
32	0.666660	0.666597	0.665973	0.659794	0.603774	0.326531	0.058394	0.006339	0.000639	
33	0.666660	0.666599	0.665994	0.660000	0.605505	0.331658	0.060055	0.006535	0.000659	
34	0.666660	0.666601	0.666014	0.660194	0.607143	0.336634	0.061706	0.006731	0.000679	
35	0.666660	0.666603	0.666032	0.660377	0.608696	0.341463	0.063348	0.006927	0.000699	
36	0.666660	0.666605	0.666050	0.660550	0.610169	0.346154	0.064982	0.007123	0.000719	
37	0.666661	0.666607	0.666067	0.660714	0.611570	0.350711	0.066607	0.007319	0.000739	
38	0.666661	0.666608	0.666082	0.660870	0.612903	0.355140	0.068223	0.007514	0.000759	
39	0.666661	0.666610	0.666097	0.661017	0.614173	0.359447	0.069830	0.007710	0.000779	
40	0.666661	0.666611	0.666112	0.661157	0.615385	0.363636	0.071429	0.007905	0.000799	
41	0.666661	0.666612	0.666125	0.661290	0.616541	0.367713	0.073019	0.008100	0.000819	
