beta	rho_estacionario
0.000000	0.000010
0.010000	0.000011
0.020000	0.000012
0.030000	0.000014
0.040000	0.000017
0.050000	0.000020
0.060000	0.000025
0.070000	0.000033
0.080000	0.000050
0.090000	0.000100
0.100000	0.003162
0.110000	0.090809
0.120000	0.166617
0.130000	0.230736
0.140000	0.285689
0.150000	0.333313
0.160000	0.374983
0.170000	0.411750
0.180000	0.444432
0.190000	0.473673
0.200000	0.499990
0.210000	0.523800
0.220000	0.545446
0.230000	0.565210
0.240000	0.583326
0.250000	0.599993
0.260000	0.615378
0.270000	0.629624
0.280000	0.642852
0.290000	0.655167
0.300000	0.666662
0.310000	0.677415
0.320000	0.687495
0.330000	0.696965
0.340000	0.705878
0.350000	0.714282
0.360000	0.722218
0.370000	0.729726
0.380000	0.736839
0.390000	0.743586
0.400000	0.749997
0.410000	0.756094
0.420000	0.761902
0.430000	0.767439
0.440000	0.772724
0.450000	0.777775
0.460000	0.782606
0.470000	0.787231
0.480000	0.791664
0.490000	0.795916
0.500000	0.799998
0.510000	0.803919
0.520000	0.807690
0.530000	0.811318
0.540000	0.814813
0.550000	0.818180
0.560000	0.821426
0.570000	0.824559
0.580000	0.827584
0.590000	0.830506
0.600000	0.833331
0.610000	0.836064
0.620000	0.838708
0.630000	0.841268
0.640000	0.843748
0.650000	0.846152
0.660000	0.848483
0.670000	0.850745
0.680000	0.852939
0.690000	0.855071
0.700000	0.857141
0.710000	0.859153
0.720000	0.861110
0.730000	0.863012
0.740000	0.864863
0.750000	0.866665
0.760000	0.868420
0.770000	0.870128
0.780000	0.871793
0.790000	0.873416
0.800000	0.874999
0.810000	0.876542
0.820000	0.878047
0.830000	0.879517
0.840000	0.880951
0.850000	0.882352
0.860000	0.883720
0.870000	0.885056
0.880000	0.886362
0.890000	0.887639
0.900000	0.888888
0.910000	0.890109
0.920000	0.891303
0.930000	0.892472
0.940000	0.893616
0.950000	0.894736
0.960000	0.895832
0.970000	0.896906
0.980000	0.897958
0.990000	0.898989
