R0	rho
0.000000	0.000010
0.100000	0.000011
0.200000	0.000012
0.300000	0.000014
0.400000	0.000017
0.500000	0.000020
0.600000	0.000025
0.700000	0.000033
0.800000	0.000050
0.900000	0.000100
1.000000	0.003162
1.100000	0.090809
1.200000	0.166617
1.300000	0.230736
1.400000	0.285689
1.500000	0.333313
1.600000	0.374983
1.700000	0.411750
1.800000	0.444432
1.900000	0.473673
2.000000	0.499990
2.100000	0.523800
2.200000	0.545446
2.300000	0.565210
2.400000	0.583326
2.500000	0.599993
2.600000	0.615378
2.700000	0.629624
2.800000	0.642852
2.900000	0.655167
3.000000	0.666662
3.100000	0.677415
3.200000	0.687495
3.300000	0.696965
3.400000	0.705878
3.500000	0.714282
3.600000	0.722218
3.700000	0.729726
3.800000	0.736839
3.900000	0.743586
4.000000	0.749997
4.100000	0.756094
4.200000	0.761902
4.300000	0.767439
4.400000	0.772724
4.500000	0.777775
4.600000	0.782606
4.700000	0.787231
4.800000	0.791664
4.900000	0.795916
5.000000	0.799998
5.100000	0.803919
5.200000	0.807690
5.300000	0.811318
5.400000	0.814813
5.500000	0.818180
5.600000	0.821426
5.700000	0.824559
5.800000	0.827584
5.900000	0.830506
6.000000	0.833331
6.100000	0.836064
6.200000	0.838708
6.300000	0.841268
6.400000	0.843748
6.500000	0.846152
6.600000	0.848483
6.700000	0.850745
6.800000	0.852939
6.900000	0.855071
7.000000	0.857141
7.100000	0.859153
7.200000	0.861110
7.300000	0.863012
7.400000	0.864863
7.500000	0.866665
7.600000	0.868420
7.700000	0.870128
7.800000	0.871793
7.900000	0.873416
8.000000	0.874999
8.100000	0.876542
8.200000	0.878047
8.300000	0.879517
8.400000	0.880951
8.500000	0.882352
8.600000	0.883720
8.700000	0.885056
8.800000	0.886362
8.900000	0.887639
9.000000	0.888888
9.100000	0.890109
9.200000	0.891303
9.300000	0.892472
9.400000	0.893616
9.500000	0.894736
9.600000	0.895832
9.700000	0.896906
9.800000	0.897958
9.900000	0.898989
